timestamp,gpu_0_power_w,total_power_w
1769561902.508364,318.752,318.752
1769561903.0085585,288.077,288.077
1769561903.508741,304.394,304.394
1769561904.1692114,290.86,290.86
1769561904.6693997,285.419,285.419
1769561905.1695478,329.934,329.934
1769561905.8252676,316.057,316.057
1769561906.4549844,298.514,298.514
1769561906.9554143,305.7,305.7
1769561907.455578,315.491,315.491
1769561907.955776,318.433,318.433
1769561908.6956341,275.93,275.93
1769561909.1986508,277.724,277.724
1769561909.698883,276.346,276.346
1769561910.1991436,290.911,290.911
1769561910.699354,297.339,297.339
1769561911.199515,306.35,306.35
1769561911.6997187,316.728,316.728
1769561912.3708336,282.838,282.838
1769561912.8709996,279.5,279.5
1769561913.371258,306.211,306.211
1769561913.8715274,342.301,342.301
1769561914.3718731,311.816,311.816
1769561914.872075,278.138,278.138
1769561915.5364926,286.961,286.961
1769561916.037514,277.394,277.394
1769561916.537759,310.527,310.527
1769561917.179642,326.622,326.622
1769561917.6861823,293.879,293.879
1769561918.1896348,239.115,239.115
1769561918.6963553,194.236,194.236
1769561919.2147727,199.815,199.815
1769561919.7341516,200.164,200.164
1769561920.2567449,200.407,200.407
1769561920.7775428,199.313,199.313
1769561921.329667,195.843,195.843
1769561921.830365,199.325,199.325
1769561922.3380728,199.611,199.611
1769561922.8675687,195.128,195.128
1769561923.3982937,198.31,198.31
1769561923.9243908,199.451,199.451
1769561924.4683785,195.285,195.285
1769561925.0078056,201.957,201.957
1769561925.5123212,202.909,202.909
1769561926.0313017,188.094,188.094
1769561926.5782983,189.698,189.698
1769561927.120633,191.814,191.814
1769561927.6697958,196.904,196.904
1769561928.1949556,199.62,199.62
1769561928.7357323,193.783,193.783
1769561929.236547,193.791,193.791
1769561929.758664,197.389,197.389
1769561930.299024,198.602,198.602
1769561930.8284354,198.416,198.416
1769561931.3286386,196.675,196.675
1769561931.8307083,195.299,195.299
1769561932.3689058,200.912,200.912
1769561932.909954,202.153,202.153
1769561933.4130268,194.01,194.01
1769561933.9366944,194.475,194.475
1769561934.438628,201.235,201.235
1769561934.9401689,197.398,197.398
1769561935.4688504,199.245,199.245
1769561936.0194056,198.017,198.017
1769561936.54624,198.308,198.308
1769561937.0496526,202.02,202.02
1769561937.5588858,202.388,202.388
1769561938.0792773,205.059,205.059
1769561938.5794291,198.976,198.976
1769561939.1020834,190.932,190.932
1769561939.6523335,190.107,190.107
1769561940.1836088,198.545,198.545
1769561940.7128222,195.745,195.745
1769561941.2229664,198.769,198.769
1769561941.733626,199.634,199.634
1769561942.2651055,196.574,196.574
